text,avaliacao
"Até que te segue é doente, não tem no mínimo uma foto de perfil 🤣🤣🤣",odio
😂😂😂,odio
Não falam nada com nada 🤣🤣🤣🤪,odio
❤️,positivo
O.massacre que ele está sofrendo no app vizinho é absurdo. Virou chacota nacional. Tristeza.,neutro
Lkkkkkkkkkkkkkkkkkk,odio
Só pra não lavar uma louça,odio
Seu pronunciamento na quadra foi mais duro que seu pipi 😂😂😂😂😂,odio
Kkkkkkkkkkkkkkkkkkkkkkk kkkkkkk,odio
Hahahahahahaha calado me deito. PQP,odio
Vcs complicam demais. Que confusão. É tanto termo de identificação que vocês acabam passando vergonha.,odio
É isso: os q mais reclamam das pautas identitárias são os mais identitários q existem.,positivo
Perfeita colocação! 👏,positivo
Boyceta f310 d4 p0rr4!😂😂😂,odio
"Estou na dúvida ainda, só queria entender.
O significado é literal? Boyceta significa ""Menino com 🐸"" ??",neutro
😂😂😂😂,odio
Mano quanta bizarrice. O ser humano está doente na alma.,odio
"Parabéns, vc fala dois idiomas, português e merd@!. 🤮",odio
"Calma aê ohhh, Peppa pig😂",odio
"Não, ela é um BOYCETA",odio
ahaza demais jupitter!!!,positivo
Chora e engaja redpillzada :),positivo
🔥🔥❤️❤️❤️❤️❤️,positivo
"E muitos HT seguem essa galera, principalmente, no que tange relacionamento, estilo de vida, não é só a masculinidade frágil deles. Não saber a nossa história acaba nisso. Mandaram muito nesse tema kkkk",positivo
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,positivo
"Tem gente que é da comunidade que, infelizmente, ao invés de solucionar, problematizam. Dando palco para aqueles que odeiam a gente. As siglas da comunidade não foram inventadas por acaso. Foi estudo, pesquisa. Tem base!",positivo
Muita porraloca..kk,odio
Eu queroooo,positivo
Eu querooo,positivo
Exato!!!!,positivo
❤️❤️❤️,positivo
"A melhor parte q red pill blue pill vem tudo de matrix q eh dirigido por irmãs trans, essa rapaziada eh uma piada pronta e @jupi77er eh fenomenal 😌",positivo
Not Available,neutro
Hahahahaha… amei o “vc nem entenderam o filme”,positivo
Laudo psiquiátrico 😂😂😂😂,odio
Gordura trans 😂😂😂,odio
"Meu Deus, É muita Firula ideológica !!!",odio
Not Available,neutro
Só existe Homem e mulher não essas gambiarra do diab,odio
Pare de palhaçade kkkkk😂😂,odio
😂😂😂😂😂😂😂,odio
Adorei a fala neste corte! Feliz em conhecer mais existências que buscam romper as normas da nossa sociedade adoecida! Força e luz a todes!,positivo
Lamentável... Um ser transtornado como você é deplorável para sociedade,odio
Transmed é nome de plano de saúde?,neutro
@entre_amigues @jupi77er  vocês são engraçados é tipo o Mussun o cebolinha que falam errado. Não binário queer boyceta amigues todes TODA ESSA PALHAÇADA NÃO EXISTE  máximo respeito a pessoa de vocês só façam um favor pra sociedade não tenham filhos só isso já tá bom pois assim daqui 20 anos essa palhaçada não terá sequência e o Brasil volta ao normal,odio
Tô apaixonada com tantas informações que são tão pertinentes a comunidade.  Parabéns por este trabalho lindo ❤️,positivo
Isso é falta de identidade total,odio
É coisa viu,odio
Amei que ele está sofrendo ataques ❤️,odio
🤮🤮🤮🤮🤮🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,odio
Depois do boyceta pode parar ja cagou no pau kkkkk,odio
"Fala sobre o TRANSFORMER, tem um que se chama Optimus Prime ele é o que mais se identifica.",odio
Que b💩,odio
Logo o RG vai virar uma checklist,odio
Piada,odio
Kkkkkkkkkkkkkk,odio
NEM OS TRANS GOSTAM DELES MESMOs kkk🏳️‍⚧️,odio
"Juro que tento entender! Mas a cada novo “termo”, fico mais confusa!😅",neutro
Todo flamenguista é boyceta?,odio
"“Identificação trans tinha que ser menos burocrática”
Isso, ai vamo enfiar uns doido fetichista e desequilibrado se passando por pessoa trans dentro dos banheiros e vestuários femininos. 
A militância trans se perdeu totalmente em pautas absolutamente sem importância.",odio
👏👏👏,positivo
👏👏👏❤️,positivo
Alakakakkakakwkwkwkkwkwkwkww,odio
Eu sou parabólica,neutro
Pensei que era um trans que passou em medicina,neutro
Ó o Boycetao aí KKKKK,odio
Boyceta pra quem não sabe é alguém que não é girlpika.  Pronto,odio
"Genteeeeeee vcs estão me deixando loucaaaaaaa , já não consigo mais entender nadaaaaaaaaa PQP",neutro
"Sou da comunidade, mais..........................",neutro
"Essa não sabe nem o que ela e o que  gosta etc 😂😂 e agora inventou um termo uma palavra pra se mostrar na internet, o que as pessoas não fazem pra se aparecer, um termo uma palavra completamente de baixo calão, horrível e quer exigir respeito da sociedade e das pessoas, vi comentários de pessoas da própria comunidade lgbt que nunca ouviram falar nesse termo Boyceta, termo de baixo calão que a sociedade não é obrigada a aceitar, a comunidade lgbt sim  nao tenho nada contra  mas essas loucuras não dá não tem como",odio
"Acho que ela já se perdeu, não sabe nem mais o que quer ser, por esses motivos que a comunidade lgbt+ vira motivo de piada e chacota",odio
Eu quero,positivo
Como foi sua última consulta no GINECOLOGISTA ?,odio
Desver,odio
Jupitter sempre muito necessário. Admiração por esse cara. 👏❤️,positivo
Queria muito participar do programa!! Sou uma mulher transexual e mãe biológica e sofro muito pois as pessoas da minha cidade tem a mente fechada quando o assunto é ser mãe trans ainda mais sem precisar ter contato sexual com outra pessoa pra de fato isso acontecer!! Tomara que o programa leia minha mensagem,positivo
😂😂😂😂😂,odio
"Se levar no médico, ele interna 😂",odio
"Quer dizer que a identidade da pessoa, só vai ""validar"" por uma merda de laudo médico? Por isso que a comunidade é chacota pra alguns 🙄",odio
Deus repreende,odio
O que a falta de um pai na infância não faz né 😂,odio
OQ É BOYCETAAAAAA???,neutro
Vc seria A G0rd0NA da Hornet?,odio
"Existe mulheres de pênis e homens com vagina, não devemos rotular as pessoas através do sexo biológico e sim através da sua identidade de gênero",positivo
"Então se tá tudo bem com pêlos no corpo, cara e musculatura de macho, então vamos cancelar as transições né more, tão fácil julgar o mundo pela sua cabecinha desconstruída, lembra que tem um monte de menina trans sofrendo com o corpo que te E QUE NÃO ESCOLHEU,  a transição é uma forma se SE ADEQUAR PRA NÃO SOFRER TANTO NA FRENTE DO ESPELHO,  ninguém transiciona pelos outros a gente que é mulher trans faz isso pra se sentir bem, ENTENDA!  Povinho desconstruide.",odio
Frescura no rabicó,odio
"Pior foi o ""boyceta""! 😂",odio
Na comunidade de vcs não tem transDOENTE não? 🤣🤣🤣,odio
É inacreditável isso lkkkkk,odio
Boycetinha 🤣🤣🤣🤣🤣,odio
"Olhando para ti fico apavorado onde o mundo chegou. De verdade, eu tento entender o que passa na cabeça de vocês e só vejo 💩💩",odio
Nem vocês se levam a sério 🤣🤣🤣,odio
Not Available,neutro
O que e transformers?,odio
Eu não tô entendendo mais nada agora... Não sabia que tinha isso...,neutro
👏👏👏👏👏,positivo
👏👏👏👏👏,positivo
Até os lgbtqia+$%&$#* não se entendem. Querem romper com estereótipos e classificações criando mais estereótipos e classificações.  As pessoas são o que são. A individualidade de cada um não devia nem ser discutida. Apenas seja. Trans med. Kkkkkk fala sério. Boyceta. Piada,odio
Mais essa 😂😂😂...rótulos  e mais rótulos ...vai entender,odio
Entre amigues” kkkk ri muito com esse titule rs,odio
E a transmerda é oque 💩,odio
"Perfeito e muito bem colocado! O corpo é uma roupagem da nossa essência e personalidade, não o contrário. A sociedade como um todo deveria inserir novas formas de socialização e comunicação sem a pré-determinação da aparência.",positivo
"O problema começa quando pessoas que não vivem socialmente com o gênero que se identificam quererem acessar lugares divididos por gênero. Quem lembra da trans barbada da UNB? Foi um prato cheio pra extrema direita. E, pasmem, vi gente chamando quem não concordava com isso de TRANSMED. É pra rir.",odio
"Por isso ninguém leva vocês a sério, não tem nem como conversar 😂",odio
Depois falam que o problema do Brasil e o governo kkkkk um bom dia a todes,odio
✊🏾❤️,positivo
Essa não representa nem ela... Que dirá a comunidade Lgbtqia,odio
Eu queroo,positivo
"Imagina a gente chegar num médico e pedir receita e laudo para poder comprovar que sofremos lgbtfobia? Enquanto isso pessoas hetero sofrendo até transfobia. Mas foi confundido, como comprova? Por isso a linguagem tem importância grande para nomear as coisas e estabelecer essas relações conceituais, senão elas não serão reconhecidas e acolhidas pela justiça e os meios que possam nos proteger e garantir direitos. Por isso uma coisa tão boba como a palavra ""todes"" é rejeitada com tanto ódio. Não nos dão o direito de existir enquanto não for reconhecido e validado. Tem a importância de ter nome retificado. Mas não precisa comprovar num papel nossa sexualidade e identidade de gênero para ela ser real.",positivo
"É cruel sofrer preconceito dentro da mesma classe, é desumano isso!",positivo
👏👏,positivo
Eu quero,positivo
EU QUEROOOO,positivo
"Acho que nem os TRANS suportam vocês kkk.INACREDITÁVEL. É BOYCETA , é Transmed .😂",odio
"Ningm falou nada contra qm quer e faz cirurgia e hormonizacao. O unico errado eh exigir isso dos outros que nao podem e nao querem. Todo mundo é valido, nao tem que exigir nada de ninguem.",positivo
"Gente que desnecessário isso! 
Desvalidando a pessoa! Ela é Trans e pronto, ela tem que ser ver e não um papel.",positivo
As vezes eu fico preocupado com esses termos que mais nos distancia do que aproxima. Gente não vamos tornar difícil a vida de pessoas que já sofrem com o preconceito.  #PAZ,positivo
Oíiiiiiiiiiiii por favor esse termo eu não conheço! Como?,neutro
❤️❤️❤️❤️❤️❤️❤️,positivo
Eu quero!,positivo
Not Available,neutro
Fala mesmo!! 🔥,positivo
Extremamente necessário,positivo
EU QUERO,positivo
Todo apoio @jupi77er ❤️,positivo
"As pessoas LGBTQIAPN+ que estão atac4ando @jupi77er Paulo Freire já dizia, se a educação não for libertadora, o sonho da pessoa oprimida é se tornar opressora. Mais consciência e conhecimento sobre a diversidade da comunidade T",positivo
Eu queroo,positivo
Trans da Unimed,odio
Transmes são formados em Medicina?,neutro
"Lembro quando atacaram a Triz por causa da fluidez do gênero dela! A própria comunidade. Que m3rd4, meu! Lógico que tinha muita inveja e despeito camuflados. A cada um seu lugar ao sol! Paz.",positivo
Not Available,neutro
Not Available,neutro
EU QUERO,positivo
"Caraca, não conhecia esse termo. Ainda bem que nunca cruzei com nenhum kkkkk",odio
Mano que vergonha alheia,odio
@mariocgd  Transmed ai que eu te falei,neutro
Not Available,neutro
MT bom,positivo
Odeio os transmed,neutro
👏👏👏,positivo
Maravilhoso!,positivo
"Não conhecia esse termo ""transmed"".",neutro
"ABNTrans pra que sabe. Quem define quem é ""de verdade"" ou não é a cisgeneridade, pra que ficar fazendo isso entre si? De fato, um desserviço! Obg @jupi77er 🔥🏳️‍⚧️",positivo
"sensato, como sempre ❤️❤️❤️",positivo
Quanta loucura.,odio
Errada tá a psiquiatra,odio
😂😂😂,odio
"O que tem de queixo, tem de pinto. = nada! 😂😂😂😂",odio
O que é um gênero fluido mano. Só conheço gênero músical e fluido pra freios de carro😂,odio
Boyceta é meu ovis esquerdo😂,odio
Not Available,neutro
Kkkkkkkkkkk sla cara que merda kkk,odio
👏,positivo
Devia fazer uma bariátrica,odio
Estou a procura do pescoço desse dinossauro,odio
Mas no final que porra vc é???,odio
Uma coisa que vc não faz é rap flor,odio
"😂😂😂😂 que complicado, é melhor ser homem ou mulher 🤣 é muito mais fácil",odio
Not Available,neutro
"blz mais  boyceta vai chega onde,nunca acredite em uma mentira porque não e verdade#kids",odio
gostosooo,positivo
Boyceta pra quem não sabe é alguém que não é girlpika pronto explicado,odio
"Júpiter tu é muito foda! Te vi numa apresentação de rap no Fórum Social das Resistências em Porto Alegre. Se tu considera 26 tardio, imagina 40! Abraços!!!",positivo
"Pra mim só existe o macho e a fêmea ,foi  o que Deus deixou,resto e modismos",odio
Not Available,neutro
Os caras inventam tanta coisa só para o no final dizer se come ou é comido o😂😂😂😂😂,odio
Galera que não curte não precisa nem assistir.,positivo
Meu deus! Desver,odio
🫤,odio
Falta de internação em algum manicômio 💩💩,odio
????????????????????,neutro
🤢🤢🤢🤢,odio
Continua e sempre vai ser mulher,odio
Que bost4 😂😂,odio
Qual a lógica de ser trans não binário? Desculpa mas não entendi,neutro
😂😂,odio
Meu Deus  kk,odio
Isso é pior que merda,odio
😂😂😂😂😂😂😂😂😂😂,odio
Mais que merda é essa hein,odio
👏🏾👏🏾👏🏾👏🏾👏🏾,positivo
Not Available,neutro
Not Available,neutro
Mont3 d3 💩,odio
Doença !,odio
Vacaceta existe ? 😂😂😂,odio
kkkkk,odio
""" ter acesso a esse conhecimento"" 😂😂",odio
🤣🤣🤣🤣🤣 bizarro d mais mano!,odio
🤮🤮💩,odio
Not Available,neutro
💩💩💩,odio
😂😂😂😂😂😂😂😂😂😂,odio
Meu deus 😂💩,odio
Not Available,neutro
❤️,positivo
😢😢😢😢😢😢,neutro
KKKKKKKKKKKKKKKKKKK,odio
Eu querooo ❤️,positivo
"Eu sou gay e reconheço que tem dois gêneros masculino, femenino e 55 tipos de gays!",odio
Kids graçа,neutro
Quanta 💩,odio
Que merd4!,odio
Dina d deve tá se retorcendo no caixão vendo umas merda dessa falar que é rap kkkk,odio
Not Available,neutro
Not Available,neutro
❤️❤️❤️❤️,positivo
Ficaria horas ouvindo o @jupi77er falar. É apaixonante ❤️,positivo
👏👏👏👏👏,positivo
"Galera bora lá no YouTube dar uma força vendo o incrível @jupi77er com sua sabedoria e vivência, ajudem o podcast @entre_amigues crescer, deem like, comentem no conteúdo, compartilhem com sua rede.",positivo
Esses povo não intendi a vergonha que passa 😂😂😂,odio
Obediência gera benção e desobediência gera maldição,odio
Not Available,neutro
"Aperta o Butão logo Putin,quebra essa aí,nunca te pedi nada.",odio
Do jeito que o CAPS gosta 😂,odio
A diabete gosta disso. 😂😂👏,odio
"Deus criou homem e mulher, agora o gordo ou magro nada ver ,agora desobedecer, kkkkk faça o favor de pensar no futuro e de exemplo....quer aparecer da forma mais ridícula. Afinal depois de quase uma semana vc decidiu o que vc é?",odio
"Blz… a medicina tá errada, a biologia tá errada… vc que tá certe 😂😂😂",odio
Isso é doença  física e mental 😮,odio
Eu acho que os alienígenas não são como nos aprendemos em,neutro
"Com esse pensamento, é fácil romper uma artéria, e nada mais.",odio
EU QUERO,positivo
KKKKKKKKKKKKKKKKK FEI DEMAIS,odio
"Realmente desobedece,te deixando com saúde precária e influenciando outros é romantizar uma doença.",odio
Não é que vc quer ser gordo ou obeso. Só n quer fazer regime,odio
😂😂😂😂😂😂😂😂😂,odio
"No vídeo anterior aqui em que vc citou o dep Níkolas, não foi permitido comentar, ali vc disse que ele postou um corte de seu vídeo para 11 milhões de bolsonarístas, se vc foi a um podcast querendo visualização; então ele te ajudoooooou.",odio
"Desobedecer a regra número 1 dos anjos caídos. Muito bom, o inferno tá cheio ! 👏🏾👏🏾",odio
esquizofrenia kkkkk,odio
Kkkkkkkkkkkkkkkkkkk,odio
😂😂😂😂😂😂,odio
"Hummmmm amostradinhaaa, vou logo fazer sua passagem. Era uma vez uma amostradinha que não cuidava da saúde 😂",odio
Me emocionei ❤️,positivo
gordo agr e minoria ? kkkkkkk,odio
"A Realidade é muito triste..mais é no subúrbio que vive o boyceta..Pegar. O trem é arriscado, trombar com outros boyceta naquele  trem lotado..numa briga de boyceta quem sai perdendo são os boy  ceta.cetaligado😂😂😂😂😂..Fiz um Rap",odio
"Você é foda te admiro muito, cê tá ligado ❤️",positivo
"Se biológicamente não há uma explicação, você é anti ciência, sem mais.",odio
Kkkkk tratamento urgente né! 🤣,odio
Eu quero!,positivo
O melhor de todos,positivo
😂😂😂😂😂,odio
Sou um helicóptero de cobate blackbird 🚁,odio
Aulas meu bem 🔥,positivo
"Crl… pessoas como você faz abranger o raciocínio! Continue sendo eficaz e objetivo 👏🏽👏🏽👏🏽 a sua forma de pensar ajuda muito as outras pessoas a aceitarem os seus corpos! É preciso desobedecer o padrão imposto a sociedade, que, muitos abraçam e acreditam afirmando que é o correto! Cada qual com o seu corpo e sua forma de pensar e aceitar, RESPEITO É OBRIGAÇÃO!",positivo
Louça lavada evita paulada,odio
Um corpo gordo é um corpo dodói.,odio
Só fala para mim....qual seu partido político?,neutro
Not Available,neutro
"Que desgraça completa, ajudem essa moça indicando bons profissionais de saúde mental.",odio
Kkkkkkkk muita loucura,odio
"E tão simples , corpo que tem vagina é mulher, e o corpo que tem penis é homem, isso nunca vai mudar , pensei que ainda ensinavam isso nas escolas ! 😂",odio
Eu quero!,positivo
"obrigado por existir jupiii, vc é foda",positivo
Aulas,positivo
"Realmente é assim, pras pessoas que me conhecem dês de criança, e por ser um magro que só toma a testosterona.... Todos jugam se eu vou ser um homem trans padrão, que faz academia e pareço um homem cis",positivo
🥹🤎 SE ACOSTUMEM,positivo
É isso!!!! 🔥🔥👏,positivo
Muito foda ❤️,positivo
👏👏👏,positivo
👏👏👏👏,positivo
Amooo demaissssss @jupi77er,positivo
👏👏👏👏,positivo
Sensacional!!! 👏👏👏,positivo
❤️,positivo
Isso me emocionou demais,positivo
Aproveitaaaaaa,positivo
Amei tanto!!!,positivo
"""Meu corpo vai ser diferente sim, pq eu quero"" 😍 Aprendi a respeitar mais o meu corpo te ouvindo, obrigada por isso! ❤️",positivo
B A F O,positivo
Meu ídolooo ❤️,positivo
❤️,positivo
❤️,positivo
Espetacular 👏👏👏👏,positivo
Foda demais❤️❤️❤️,positivo
Aproveita pra se acostumar 🙌,positivo
Boy cempal,neutro
"Muito e um merda 😂😂, porá de gênero, homem e mulher sempre 🗿🗿",odio
Tem que tomar uns tapão na orelha pra para de maluquice,odio
não sabe nem o que tá falando 🤮 falou falou e falou e eu não entendi boyceta nenhuma,odio
Eu tenho poróki. Posso ser também? Já que não é uma coisa meio construída eu declaro que sou boyceta machocispiroqueceta.,odio
Não chegar,neutro
Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,odio
"enfim, ela não sabe mais oq é",odio
Osovis,odio
O que é boyceta no fim das contas?,neutro
O mundo jas do maligno,odio
Eu sou um Boysexta!!! Gosto de sair na Sexta e tomar a minha cerveja 🍺,neutro
Rapaz o mundo tá lascades,neutro
"Hummmm, conte me mais 😬🥱🥱🥱",odio
Isso e falta de porrada,odio
Daqui a pouco vão criar a sigla LGTV HDMI pessoal que se identifica como eletrodomésticos 😂😂😂,odio
🤣🤣🤣 Tem que rir pra não chorar 🤣,odio
Mas é homem ou mulher?,neutro
Not Available,neutro
"Eu sou um trans rico , mas vivo como pobre .",odio
Aperta o Butão Putin.Nunca te pedi nada.,odio
"Não é homem, não é mulher,não binare,binare hétero transcendente fluido lgbtqc12345.Cada dia entendendo menos,acho que se mudar mais alguma coisa vira uma.bacteria.",odio
Mi paus 😂,odio
Então já sou boycetofobico,odio
😂😂😂,odio
Palhaçada!,odio
Sou transrica me sinto rica no corpo de pobre 😂😂😂😂😂😂,neutro
🤣🤣🤣🤣🤣 pqp!,odio
Acompanhamento psicológico resolve.,odio
"Mds, que bosta é essa. Ele deve ter sido a única criança que não sofreu bullying, por isso que está assim desse jeito. Deus perdoa, pois eles não sabem o que fazem ou como agem.",odio
"Resumindo, não sabe o que é, é tudo e nada ao mesmo tempo.",odio
Obrigado mãe  por ter me batido quando era criança. Olha pra essa geração 😂,odio
Haa entendi tudooo 😮,neutro
🤣🤣🤣🤣🤣,odio
eu sou sapatao boiando boyceta genero fluido q que isso,neutro
Perdida nem ela sabe exatamente o q eh o q quer aff problema puro,odio
E menino ou menina tudo estranho envergonha os lados,odio
A maravilhosa arte de falar muito e não dizer absolutamente p**ra nenhuma.,odio
😂,odio
Ou seja pode ser resetada  a qualquer  momento 😂😂😂😂😂,odio
Not Available,neutro
Pqp na moral,odio
O governo tem que investi em hospício 😂😂 essa galera vive no espaço sideral 😂😂😂,odio
Ele tbm é boyceta @_jadiel_lopes,odio
Até lucifer riu dessa merda🤣,odio
Gênero dos infernos,odio
🤣🤣🤣,odio
Tendi nada 🥴,neutro
"Meu Deus do céu... A pessoa é cem coisas em uma só... Eu não dou conta de ser eu mesma. Fico imaginando ser boyceta, gênero fluído, trans... Ou seja, a pessoa não sabe o que é e fica inventando um monte de nome... Ah, será que boyceta é uma pessoa que tem bucet@ mas acha que é homem???",odio
Não entendi boyceta nenhuma KAKAKKAKAKKAKAKAKAKKAKAKKA,odio
Tem o jingle https://www.instagram.com/reel/C12QKlrr2vZ/?igsh=MWU3NTh5aGVkbDhheQ==,neutro
🙌🔥❤️😍😍,positivo
"Tá certa, errado foi o médico que deu alta 🤦‍♂️",odio
Que cada um se expresse da maneira que quiser ué … é um direito dele !,positivo
😂😂😂😂,odio
Impressionante como gosta de se rotular. Queria atenção e conseguiu 🤭,odio
E eu sou boypinto kkkk,odio
Não entendi Boyceta nenhuma man 🤔,odio
"Alexa, tocar as trombetas.",odio
Super trunfo.,neutro
Vc se consulta como ginecologista ou urologista ?,odio
Not Available,neutro
A sociedade humana esta se transformando em um esgoto a céu aberto. Precisa urgente um cometa vir e acabar com tudo e dar um reset neste planeta. Ou voltarmos no tempo e desviar o cometa que caiu e os dinossauros evoluírem em lugar dos primatas.,odio
Cada coisa que aparece só aparece merda !,odio
😂😂😂😂😂😂😂😂😂,odio
"Vc está perdida, não sabe o quer ser, essa é a real. 😢",odio
"Ia comentar no seu vídeo explicativo sobre o termo “boyceta” mas os comentários estão bloqueados. Passando aqui pra dizer que te vi no @papodemachona e sou mulher cis hetero, vivendo com HIV, e super apoio seu movimento. Podemos ser o que quisermos ser e ninguém tem nada com isso. Continue sendo você e com sua autoconfiança. O ódio que vem do outro só diz respeito ao outro. Arrasou! 👏👏👏👏",positivo
Porra....o grande rapper ai de rosa me bloqueou 😂😂😂😂😂,odio
Eu amei ❤️😍,positivo
Vai procurar uma lavagem de roupa,odio
Derreteu a mente com LSD e sintético deu nisso ai,odio
Achei q boyceta era um xingamento,neutro
"Só existe trans, gay e lésbica. O resto é conversa fiada!",odio
"Pra mim existe  heterossexual, homossexuais e lésbico ! O resto é idiotices!",odio
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,odio
To tentando entender oque é um boyceta 😂,odio
O fim do mundo já nem é uma opção ruim mais.,odio
Bem amigos…Acabou 😔,neutro
Que b💩st4aaaaaaaaaaaaaaaaaaa,odio
"Queride @jupi77er à você estendo minha solidariedade! Se precisar de acolhimento profissional para lidar com os inúmeros ataques transfóbicos aqui presentes, me chame!",positivo
Bom eu entendi tudo ela é uma mulher que se identifica como homem e tem uma buceta . Que mal tem? Acho que colocou as palavras certas … eu adorei ❤️ esta palavra boyceta ❤️❤️❤️,positivo
Resumindo não aceita a natureza e acha que a vida é um morango 🍓,odio
Meu paue KKKKKKKKKKKKK,odio
Kskskskksksks,odio
"Deus=Homem/Mulher , diabo=LGBTSAMSUNGAZ",odio
😂😂😂,odio
Tu me poupe eu sou é sapato 👞 ao kkkkkk,neutro
🙄🙄,odio
"Independente do que ela ou Eli ou seja, minha conta de luz continua atrasada 😅😅😅😅😅😅😅",odio
Que porra é essa que confusão  do Carvalho 😂😂😂,odio
Tenho dinheiro pra pagar advogado não 🤣🤣🤣,odio
Not Available,neutro
"É cada uma, pqp Kkkkkkkkkkkkkkkkkk",odio
"....... Como dizia copelia, prefiro não comentar kkk",odio
Eu queria 1 ano do Che e do Fidel no Brasil .... Não sobrava um 🔥,odio
"Será que o antônimo de ""Boyceta"" é ""Girlpica"" 🤔 ?",odio
"Deixa ser o que quizer, somos livres para escolhermos o que queremos, que ser Boyceta, seja Boyceta, qual problema ❤️",positivo
😂😂😂 só me resta sorrir mesmo. É cada monte de fezes que aparece 💩,odio
Eu digitei e apaguei lembrando que eu n tenho dinheiro pro advogado,neutro
"Kkkkk isso não existe! Parem de querer criar algo e impor essas besteiras! Plmds até quando gente, Boyceta? O que é isso? Bateu a cabeça forte né",odio
Paciente mais fraca do CAPS,odio
Pede pra ser zoado e depois vai pra internet com mimimimi,odio
"Se tem boyceta, tem girlpica? 😂😂😂😂",odio
Ta tranquilo ta favorável 😂😂,odio
😂😂😂😂😂😂😂😂😂,odio
"Ah sim, agora eu entendi 🤣🤣",odio
"Os próximos gêneros: Transtornade, esquizofrênique, epilétique entre outres",odio
"Sem o Allspark não podemos levar a vida de volta ao nosso planeta. Então o destino trouxe sua recompensa. Um novo mundo para chamarmos de casa. Vivemos entre os humanos agora, sempre escondidos, mas vigiando eles em segredo. Esperando, protegendo. Eu testemunhei a capacidade e a coragem deles. E embora sejamos de mundos distintos, como nós eles são mais do que os olhos podem ver. Eu sou Optimus Prime. E mando esta mensagem para qualquer Autobot sobrevivente que esteja refugiando entre as estrelas. Nós estamos aqui. Nós estamos esperando",neutro
Isso e doença 🤣🤣🤣🤣🤣🤣,odio
Kkkkkkkkkkkkkkkkkkk manooooo,odio
Eu sou boypica ?,odio
É hora do arrebatamento 🤣,odio
"Então tá, então tá bom",neutro
"Ele é três coisa ao mesmo tempo, é um megazord!",odio
"Mano na boa não é nem zuera,q diabos essa pessoa é? Essa caralha é menino ou menina?",odio
"Tá certinho, errado foi psiquiatra em ter dado alta 🙌",odio
Meu Deus o mundo realmente tá perdido. Pai tenha misericórdia.,odio
Sorri alto com seu comentário,neutro
❤❤❤❤,positivo
"C é atoa, isso sim",odio
"E pra dar nó na mente isso ,e só sei de uma coisa ,Deus deixou o macho e a fêmea , pra gerar filho e Perpétua a espécie, o resto não entra na minha mente",odio
Mc Daniel tá grande,odio
Not Available,neutro
🤣🤣🤣🤣🤣🤣,odio
Deveria ter g0zad0 na cara.  Disse o pai,odio
"Sólido, líquido e gasoso, 🤣",odio
"Chupeta, carreta,catreta etc .... Boyceta e meus ovos kkkkk",odio
Meus bagos,odio
"Com todo respeito, eu achei engraçado esse nome/termo Boyceta 🤭, tô vendo seus vídeos explicando",neutro
É sério isso 😂😂😂😂não só pode ser uma pegadinha 😂😂😂preciso ir no psicólogo agora.,odio
Você se considera uma X-Men?,odio
Kkkkk e foda Deus criou o homem e a mulher ponto final não estou aqui bancando o crente não Deus fez o macho e a fêmea agora bem o diabo botando vários tipos de gêneros que o próprio ser humano vem criando ultimamente conhecereis a verdade e a verdade vós libertara,odio
Cresce uma jeba se vc quiser?,odio
Adoro minha boyceta,positivo
E eu sou um Saiyajin,odio
"Ta bom mas no fim você usa o vasE sanitariE pra fazer pipi, em pé ou sentadE ? 🤔",odio
Majimboo,odio
"KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK

Ah cara, as vezes a gente tenta evitar processo , mas aí aparece umas coisas dessas 😭😭",odio
Trate as travestis e as mulheres trans como mulheres. Trate os homens trans como homens. Trate a todes com o respeito exigido para que lhe tratem com o mesmo respeito também.,positivo
"Genital não define gênero, anatomia não define gênero! Mais respeito pelos os HOMENS TRANS 🏳️‍🌈🏳️‍⚧️",positivo
Mano 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,odio
Ainda bem que ja esta perto da volta de Jesus,odio
"No caso você é Trans = um homem que nasceu no corpo de uma mulher (pelo menos é isso que eu entendo de pessoas trans), você também é não binário = não se sente nem 100% homem e nem 100% mulher, aí surge o gênero fluido ( que eu não sei se é sobre se sentir as vezes mais feminina, as vezes mais masculina, ou se é sobre se vestir as vezes mais feminina ou as vezes mais masculina, ou se é sobre as duas coisas) mas no caso o gênero fluido faz bastante sentido pra uma pessoa não binária. Agora o termo Boyceta seria pra dizer que é um homem com b*ceta? Parece que o intuito desse gênero é poupar aquela conversa quando as pessoas perguntam “então você era menina e virou menino ?” Não sei se é isso, mas é o que parece. Só que a parte que acredito eu, que gera maior confusão, é no caso de identificar como homem, mas ao mesmo tempo ser não binário, os mesmo tempo ter o gênero fluido. Não to julgando, apenas tentando entender, como da pra ser tudo isso e as vezes não ser.",neutro
